Do. Jän. 25 15:28:11 2024 1706192891518 Debug: /Users/cagnulein/qdomyos-zwift/src/main.cpp int main(int, char **) "version " "626"
Do. Jän. 25 15:28:11 2024 1706192891520 Debug: /Users/cagnulein/qdomyos-zwift/src/main.cpp int main(int, char **) "AKLastCheckInAttemptDate" QVariant(QDateTime, QDateTime(2020-01-07 23:50:56.568 CET Qt::LocalTime))
Do. Jän. 25 15:28:11 2024 1706192891520 Debug: /Users/cagnulein/qdomyos-zwift/src/main.cpp int main(int, char **) "AKLastCheckInSuccessDate" QVariant(QDateTime, QDateTime(2020-01-07 23:50:57.436 CET Qt::LocalTime))
Do. Jän. 25 15:28:11 2024 1706192891521 Debug: /Users/cagnulein/qdomyos-zwift/src/main.cpp int main(int, char **) "AKLastEmailListRequestDateKey" QVariant(QDateTime, QDateTime(2024-01-16 04:49:15.751 CET Qt::LocalTime))
Do. Jän. 25 15:28:11 2024 1706192891521 Debug: /Users/cagnulein/qdomyos-zwift/src/main.cpp int main(int, char **) "AKLastIDMSEnvironment" QVariant(QString, "0")
Do. Jän. 25 15:28:11 2024 1706192891521 Debug: /Users/cagnulein/qdomyos-zwift/src/main.cpp int main(int, char **) "AKLastLocale" QVariant(QString, "de_AT")
Do. Jän. 25 15:28:11 2024 1706192891521 Debug: /Users/cagnulein/qdomyos-zwift/src/main.cpp int main(int, char **) "AddingEmojiKeybordHandled" QVariant(QString, "true")
Do. Jän. 25 15:28:11 2024 1706192891521 Debug: /Users/cagnulein/qdomyos-zwift/src/main.cpp int main(int, char **) "AppleITunesStoreItemKinds" QVariant(QStringList, ("itunes-u", "movie", "album", "ringtone", "software-update", "booklet", "tone", "music-video", "song", "podcast", "software", "audiobook", "podcast-episode", "wemix", "eBook", "mix", "artist", "document"))
Do. Jän. 25 15:28:11 2024 1706192891522 Debug: /Users/cagnulein/qdomyos-zwift/src/main.cpp int main(int, char **) "AppleLanguages" QVariant(QStringList, ("de-AT", "en-GB"))
Do. Jän. 25 15:28:11 2024 1706192891522 Debug: /Users/cagnulein/qdomyos-zwift/src/main.cpp int main(int, char **) "AppleLanguagesDidMigrate" QVariant(QString, "20G81")
Do. Jän. 25 15:28:11 2024 1706192891522 Debug: /Users/cagnulein/qdomyos-zwift/src/main.cpp int main(int, char **) "AppleLanguagesSchemaVersion" QVariant(QString, "4000")
Do. Jän. 25 15:28:11 2024 1706192891522 Debug: /Users/cagnulein/qdomyos-zwift/src/main.cpp int main(int, char **) "AppleLocale" QVariant(QString, "de_AT")
Do. Jän. 25 15:28:11 2024 1706192891522 Debug: /Users/cagnulein/qdomyos-zwift/src/main.cpp int main(int, char **) "ApplePasscodeKeyboards" QVariant(QStringList, ("de_AT@sw=QWERTZ-German;hw=Automatic", "emoji@sw=Emoji"))
Do. Jän. 25 15:28:11 2024 1706192891523 Debug: /Users/cagnulein/qdomyos-zwift/src/main.cpp int main(int, char **) "CarCapabilities" QVariant(QVariantMap, QMap(("CarCapabilitiesContentVersion", QVariant(QString, "9"))("CarCapabilitiesDefaultIdentifier", QVariant(QVariantMap, QMap(("CRCapabilitiesDisabledFeatureKey", QVariant(qlonglong, 0))("CRCapabilitiesUserInterfaceStyleKey", QVariant(qlonglong, 2))("CRCapabilitiesVersionKey", QVariant(QString, ""))("CapabilitiesDashboardRoundedCornersKey", QVariant(QString, "{{13, 0}, {0, 0}}"))("CapabilitiesNowPlayingAlbumArtKey", QVariant(qlonglong, 2))("CapabilitiesViewAreaInsetKey", QVariant(QString, "{{0, 0}, {0, 0}}")))))("IiKqIBEZqgSqlUeqSQQh", QVariant(QVariantMap, QMap(("CRCapabilitiesDisabledFeatureKey", QVariant(qlonglong, 0))("CRCapabilitiesUserInterfaceStyleKey", QVariant(qlonglong, 2))("CRCapabilitiesVersionKey", QVariant(QString, "9"))("CapabilitiesDashboardRoundedCornersKey", QVariant(QString, "{{13, 0}, {0, 0}}"))("CapabilitiesNowPlayingAlbumArtKey", QVariant(qlonglong, 2))("CapabilitiesViewAreaInsetKey", QVariant(QString, "{{0, 0}, {0, 0}}")))))))
Do. Jän. 25 15:28:11 2024 1706192891523 Debug: /Users/cagnulein/qdomyos-zwift/src/main.cpp int main(int, char **) "PKKeychainVersionKey" QVariant(QString, "8")
Do. Jän. 25 15:28:11 2024 1706192891523 Debug: /Users/cagnulein/qdomyos-zwift/src/main.cpp int main(int, char **) "PKLogNotificationServiceResponsesKey" QVariant(QString, "false")
Do. Jän. 25 15:28:11 2024 1706192891523 Debug: /Users/cagnulein/qdomyos-zwift/src/main.cpp int main(int, char **) "age" QVariant(qlonglong, 35)
Do. Jän. 25 15:28:11 2024 1706192891523 Debug: /Users/cagnulein/qdomyos-zwift/src/main.cpp int main(int, char **) "android_notification" QVariant(bool, false)
Do. Jän. 25 15:28:11 2024 1706192891524 Debug: /Users/cagnulein/qdomyos-zwift/src/main.cpp int main(int, char **) "android_wakelock" QVariant(bool, true)
Do. Jän. 25 15:28:11 2024 1706192891524 Debug: /Users/cagnulein/qdomyos-zwift/src/main.cpp int main(int, char **) "ant_cadence" QVariant(bool, false)
Do. Jän. 25 15:28:11 2024 1706192891524 Debug: /Users/cagnulein/qdomyos-zwift/src/main.cpp int main(int, char **) "ant_garmin" QVariant(bool, false)
Do. Jän. 25 15:28:11 2024 1706192891524 Debug: /Users/cagnulein/qdomyos-zwift/src/main.cpp int main(int, char **) "ant_heart" QVariant(bool, false)
Do. Jän. 25 15:28:11 2024 1706192891524 Debug: /Users/cagnulein/qdomyos-zwift/src/main.cpp int main(int, char **) "app_opening" QVariant(qlonglong, 23)
Do. Jän. 25 15:28:11 2024 1706192891525 Debug: /Users/cagnulein/qdomyos-zwift/src/main.cpp int main(int, char **) "applewatch_fakedevice" QVariant(bool, false)
Do. Jän. 25 15:28:11 2024 1706192891525 Debug: /Users/cagnulein/qdomyos-zwift/src/main.cpp int main(int, char **) "asviva_bike" QVariant(bool, false)
Do. Jän. 25 15:28:11 2024 1706192891525 Debug: /Users/cagnulein/qdomyos-zwift/src/main.cpp int main(int, char **) "battery_service" QVariant(bool, false)
Do. Jän. 25 15:28:11 2024 1706192891525 Debug: /Users/cagnulein/qdomyos-zwift/src/main.cpp int main(int, char **) "bh_spada_2" QVariant(bool, false)
Do. Jän. 25 15:28:11 2024 1706192891525 Debug: /Users/cagnulein/qdomyos-zwift/src/main.cpp int main(int, char **) "bh_spada_2_watt" QVariant(bool, false)
Do. Jän. 25 15:28:11 2024 1706192891525 Debug: /Users/cagnulein/qdomyos-zwift/src/main.cpp int main(int, char **) "bike_cadence_sensor" QVariant(bool, false)
Do. Jän. 25 15:28:11 2024 1706192891526 Debug: /Users/cagnulein/qdomyos-zwift/src/main.cpp int main(int, char **) "bike_heartrate_service" QVariant(bool, false)
Do. Jän. 25 15:28:11 2024 1706192891526 Debug: /Users/cagnulein/qdomyos-zwift/src/main.cpp int main(int, char **) "bike_power_sensor" QVariant(bool, false)
Do. Jän. 25 15:28:11 2024 1706192891526 Debug: /Users/cagnulein/qdomyos-zwift/src/main.cpp int main(int, char **) "bike_resistance_gain_f" QVariant(double, 1)
Do. Jän. 25 15:28:11 2024 1706192891526 Debug: /Users/cagnulein/qdomyos-zwift/src/main.cpp int main(int, char **) "bike_resistance_offset" QVariant(qlonglong, 4)
Do. Jän. 25 15:28:11 2024 1706192891526 Debug: /Users/cagnulein/qdomyos-zwift/src/main.cpp int main(int, char **) "bike_resistance_start" QVariant(qlonglong, 1)
Do. Jän. 25 15:28:11 2024 1706192891527 Debug: /Users/cagnulein/qdomyos-zwift/src/main.cpp int main(int, char **) "bike_weight" QVariant(double, 0)
Do. Jän. 25 15:28:11 2024 1706192891527 Debug: /Users/cagnulein/qdomyos-zwift/src/main.cpp int main(int, char **) "bluetooth_30m_hangs" QVariant(bool, false)
Do. Jän. 25 15:28:11 2024 1706192891527 Debug: /Users/cagnulein/qdomyos-zwift/src/main.cpp int main(int, char **) "bluetooth_lastdevice_address" QVariant(QString, "{a309c420-24df-03e4-3359-85920bfb5d62}")
Do. Jän. 25 15:28:11 2024 1706192891527 Debug: /Users/cagnulein/qdomyos-zwift/src/main.cpp int main(int, char **) "bluetooth_lastdevice_name" QVariant(QString, "ASSIOMA06059R")
Do. Jän. 25 15:28:11 2024 1706192891527 Debug: /Users/cagnulein/qdomyos-zwift/src/main.cpp int main(int, char **) "bluetooth_relaxed" QVariant(bool, false)
Do. Jän. 25 15:28:11 2024 1706192891528 Debug: /Users/cagnulein/qdomyos-zwift/src/main.cpp int main(int, char **) "cadence_gain" QVariant(double, 1)
Do. Jän. 25 15:28:11 2024 1706192891528 Debug: /Users/cagnulein/qdomyos-zwift/src/main.cpp int main(int, char **) "cadence_offset" QVariant(double, 0)
Do. Jän. 25 15:28:11 2024 1706192891528 Debug: /Users/cagnulein/qdomyos-zwift/src/main.cpp int main(int, char **) "cadence_sensor_as_bike" QVariant(bool, false)
Do. Jän. 25 15:28:11 2024 1706192891528 Debug: /Users/cagnulein/qdomyos-zwift/src/main.cpp int main(int, char **) "cadence_sensor_name" QVariant(QString, "Disabled")
Do. Jän. 25 15:28:11 2024 1706192891528 Debug: /Users/cagnulein/qdomyos-zwift/src/main.cpp int main(int, char **) "cadence_sensor_speed_ratio" QVariant(double, 0.33)
Do. Jän. 25 15:28:11 2024 1706192891529 Debug: /Users/cagnulein/qdomyos-zwift/src/main.cpp int main(int, char **) "com/apple/Animoji/StickerRecents/SplashVersion" QVariant(QString, "1")
Do. Jän. 25 15:28:11 2024 1706192891529 Debug: /Users/cagnulein/qdomyos-zwift/src/main.cpp int main(int, char **) "computrainer_serialport" QVariant(QString, "")
Do. Jän. 25 15:28:11 2024 1706192891529 Debug: /Users/cagnulein/qdomyos-zwift/src/main.cpp int main(int, char **) "continuous_moving" QVariant(bool, false)
Do. Jän. 25 15:28:11 2024 1706192891529 Debug: /Users/cagnulein/qdomyos-zwift/src/main.cpp int main(int, char **) "crrGain" QVariant(double, 0)
Do. Jän. 25 15:28:11 2024 1706192891529 Debug: /Users/cagnulein/qdomyos-zwift/src/main.cpp int main(int, char **) "cryptoKeySettingsProfiles" QVariant(qlonglong, 6328431198182589232)
Do. Jän. 25 15:28:11 2024 1706192891530 Debug: /Users/cagnulein/qdomyos-zwift/src/main.cpp int main(int, char **) "csafe_rower" QVariant(QString, "")
